Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100 uF","C_0805_2012Metric",154.800000,-94.100000,180.000000,top
"C4","4.7uF","C_0805_2012Metric",163.475000,-106.675000,0.000000,top
"C5","1uF","C_0805_2012Metric",156.950000,-98.400000,180.000000,top
"C6","4.7uF","C_0805_2012Metric",163.350000,-97.560000,0.000000,top
"C9","22 uF","C_0805_2012Metric",163.950000,-92.850000,0.000000,top
"C10","47 uF","C_0805_2012Metric",164.225000,-87.375000,0.000000,top
"D1","SML-D12U1WT86","LED_SML-D12U1WT86",167.230000,-104.570000,0.000000,top
"D2","SML-D12U1WT86","LED_SML-D12U1WT86",167.120000,-100.950000,0.000000,top
"D3","SS34","D_SMA",153.400000,-89.800000,180.000000,top
"J1","Conn_01x02_Pin","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",153.540000,-83.540000,0.000000,top
"J2","Battery_1x2","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",156.040000,-111.645000,180.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",143.735000,-97.090000,-90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.00mm_Vertical",152.950000,-101.050000,90.000000,top
"L2","DFE18SAN1R0ME0L","INDC1608X80N",164.900000,-90.125000,-90.000000,top
"R1","1.18k","R_0805_2012Metric",160.150000,-96.850000,-90.000000,top
"R2","1.13k","R_0805_2012Metric",158.375000,-104.575000,0.000000,top
"R3","46.4k","R_0805_2012Metric",157.700000,-101.825000,90.000000,top
"R4","10k","R_0805_2012Metric",159.600000,-106.625000,0.000000,top
"R5","1.5k","R_0805_2012Metric",167.170000,-102.810000,180.000000,top
"R6","1.5k","R_0805_2012Metric",167.050000,-99.200000,180.000000,top
"R12","5.1k","R_0805_2012Metric",150.000000,-101.000000,-90.000000,top
"R13","5.1k","R_0805_2012Metric",151.200000,-93.500000,90.000000,top
"R17","91k","R_0805_2012Metric",160.275000,-90.525000,-90.000000,top
"R18","511k","R_0805_2012Metric",160.250000,-86.950000,90.000000,top
"U1","BQ24075","QFN16",162.025000,-101.475000,90.000000,top
"U5","USBLC6-2SC6","SOT-23-6",152.900000,-97.100000,0.000000,top
"U6","TPS631011YBGR-Pin_Corrected","DSBGA8_YBG_TEX",163.000000,-90.299925,180.000000,top
